txid	host_txids	host_names	diseases
2016050	106654;1217645	Acinetobacter nosocomialis;Acinetobacter baumannii NIPH 2061	
2678937	470;1217645	Acinetobacter baumannii;Acinetobacter baumannii NIPH 2061	
2126803	470	Acinetobacter baumannii	
1701807	470;1280	Acinetobacter baumannii;Staphylococcus aureus	
1701808	470	Acinetobacter baumannii	
1852629	927193	Acinetobacter baumannii A118	
2269366	106654;48296	Acinetobacter pittii;Acinetobacter nosocomialis	
2016052	1217631;48296	Acinetobacter pittii;Acinetobacter baumannii NIPH 290	
2016053	48296	Acinetobacter pittii	
2655002	470;48296	Acinetobacter baumannii;Acinetobacter pittii	
1983409	470	Acinetobacter baumannii	
1965454	470	Acinetobacter baumannii	
1983525	470	Acinetobacter baumannii	
1505225	470	Acinetobacter baumannii	
1221835	470	Acinetobacter baumannii	
1628721	470	Acinetobacter baumannii	
1628720	470;1280	Acinetobacter baumannii;Staphylococcus aureus	
1560342	470	Acinetobacter baumannii	
1049283	470	Acinetobacter baumannii	
101764	46246	Delphinium	
1776763	4100;3627;165710;3625;165200	Actinidia eriantha;Actinidia deliciosa;Actinidia kolomikta;Nicotiana benthamiana;Actinidia chinensis	
2560282	3625	Actinidia chinensis	
2024724	1590841	Actinidia chinensis var. chinensis	
1112769	200313;1590841	Nicotiana occidentalis;Actinidia chinensis var. chinensis	
1112770	200313;3625	Nicotiana occidentalis;Actinidia chinensis	
1331744	78511	Ribes nigrum	
2880361	1655	Actinomyces naeslundii	
279303	442459	Actinoplanes sp. SN223/29	
92444	7460	Apis mellifera	
340187	7029	Acyrthosiphon pisum	
1611877	9534	Chlorocebus aethiops	
31612	89462;9913;9970;58271	Culicoides;Syncerus caffer;Bos taurus;Bubalus bubalis	
1590650	9238	Pygoscelis adeliae	
1930920	323751	Adelphocoris suturalis	
272636	8855	Cairina moschata	
85106	60711;9544	Macaca mulatta;Chlorocebus sabaeus	
46350	9606	Homo sapiens	
57579	9606;60711;9544	Homo sapiens;Macaca mulatta;Chlorocebus sabaeus	
68558	9606	Homo sapiens	
202812	9544	Macaca mulatta	
202813	9544	Macaca mulatta	
10804	9606;40674	Homo sapiens;Mammalia	
68742	9606	Homo sapiens	
82300	9606	Homo sapiens	
296148	9925	Capra hircus	
1883104	471709;4100	Adonis ramosa;Nicotiana benthamiana	
1293540	85585	Adoxophyes honmai	
224399	85585	Adoxophyes honmai	
170617	85584	Adoxophyes	
542343	480707	Adoxophyes orana	
335103	9606	Homo sapiens	
1513196	7159	Aedes aegypti	
2010265	1	root	
1513199	7160	Aedes albopictus	
2010268	1	root	
2010269	1	root	
2010266	1	root	
390845	7160	Aedes albopictus	
341721	316597	Aedes pseudoscutellaris	
1962503	22994;46091;63459;4100	Chenopodium quinoa;Chenopodiastrum murale;Aeonium;Nicotiana benthamiana	
1913112	1430331;1872391	Aeribacillus sp.;Geobacillus icigianus	
2163976	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	
2588097	196023	Aeromonas hydrophila subsp. hydrophila	
2588515	196023	Aeromonas hydrophila subsp. hydrophila	
2588098	948519	Aeromonas rivipollensis	
321023	645	Aeromonas salmonicida	
2907963	645	Aeromonas salmonicida	
2588518	196023	Aeromonas hydrophila subsp. hydrophila	
2588520	196023	Aeromonas hydrophila subsp. hydrophila	
2588517	196023	Aeromonas hydrophila subsp. hydrophila	
2588099	948519	Aeromonas rivipollensis	
2163978	644	Aeromonas hydrophila	
2163979	644	Aeromonas hydrophila	
2880362	644	Aeromonas hydrophila	
1198014	647	Aeromonas sp.	
1198013	645	Aeromonas salmonicida	
2053701	644	Aeromonas hydrophila	
1747286	644;380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966;Aeromonas hydrophila	
2138298	644	Aeromonas hydrophila	
2138299	644	Aeromonas hydrophila	
2026082	644;645	Aeromonas hydrophila;Aeromonas salmonicida	
2026113	644;645	Aeromonas hydrophila;Aeromonas salmonicida	
2024208	644;645	Aeromonas hydrophila;Aeromonas salmonicida	
2776735	644;654	Aeromonas hydrophila;Aeromonas veronii	
1204516	644	Aeromonas hydrophila	
2507411	196023	Aeromonas hydrophila subsp. hydrophila	
2593327	644	Aeromonas hydrophila	
2593322	644	Aeromonas hydrophila	
2591025	644	Aeromonas hydrophila	
2591030	644	Aeromonas hydrophila	
2591031	644	Aeromonas hydrophila	
2591032	644	Aeromonas hydrophila	
2591033	644	Aeromonas hydrophila	
2908744	647	Aeromonas sp.	
2908746	647	Aeromonas sp.	
1505227	644	Aeromonas hydrophila	
1978922	1569654	Aeromonas sp. A8-29	
879628	645	Aeromonas salmonicida	
879630	645	Aeromonas salmonicida	
1141132	29491	Aeromonas salmonicida subsp. salmonicida	
754050	728059	Aeromonas sp. IS4	
2591406	644	Aeromonas hydrophila	
926067	645	Aeromonas salmonicida	
2608321	644	Aeromonas hydrophila	
1127514	645	Aeromonas salmonicida	
2894367	645	Aeromonas salmonicida	
2420320	644	Aeromonas hydrophila	
1157339	56636	Aeropyrum pernix	
1932713	272557;1198449	Aeropyrum pernix K1;Aeropyrum camini SY1 = JCM 12091	
700542	272557	Aeropyrum pernix K1	
1032474	272557;56636	Aeropyrum pernix K1;Aeropyrum pernix	
1032473	272557;56636	Aeropyrum pernix K1;Aeropyrum pernix	
141904	666	Vibrio cholerae	
2003501	584996	Macronycteris gigas	
2560285	3983	Manihot esculenta	
10817	3983	Manihot esculenta	
685973	34282;511460;34276;34289;47635;47602	Gossypium gossypioides;Gossypium darwinii;Gossypium somalense;Gossypium hirsutum var. punctatum;Gossypium stocksii;Gossypium lobatum	
222064	3983;4100	Nicotiana benthamiana;Manihot esculenta	
2056161	205524;4071	Solanum aethiopicum;Capsicum	
1963256	205524;4071	Solanum aethiopicum;Capsicum	
1399914	9785	Loxodonta africana	
12480	9534	Chlorocebus aethiops	
338079	9606;9534;10036;9615	Homo sapiens;Chlorocebus aethiops;Canis lupus familiaris;Mesocricetus auratus	
40050	10036;9793;9796;9615;177093;37951;582580;88399;89252	Mesocricetus auratus;Equus asinus;Equus caballus;Culicoides imicola;Equus quagga burchellii;Culicoides pulicaris;Equus asinus africanus;Aedes sp.;Canis lupus familiaris	
185218	51953	Elaeis guineensis	
1965064	107265	Cricetomys emini	
10497	9823;9825;9534;41426;6935	Chlorocebus aethiops;Ixodida;Sus scrofa domesticus;Sus scrofa;Phacochoerus africanus	
443876	9825	Sus scrofa domesticus	
686262	9825	Sus scrofa domesticus	
443878	265619;9825	Sus scrofa domesticus;Ornithodoros erraticus	
1945738	5341	Agaricus bisporus	
387423	386106	Agave tequilana	
944995	3670;223347	Luffa aegyptiaca;Tomato leaf curl New Delhi virus	
1705092	3670;1610811;270145	Luffa aegyptiaca;Abelmoschus manihot subsp. tetraphyllus;Tomato leaf curl New Delhi virus - [Potato]	
1260769	68299;4100;188333;117272;3469	Ageratum conyzoides;Amaranthus cruentus;Papaver somniferum;Ageratum enation virus;Nicotiana benthamiana	
188333	68299	Ageratum conyzoides	
666636	68299;188333;320667	Ageratum enation virus;Ageratum conyzoides;Trichosanthes dioica	
2755028	55598	Ageratum houstonianum	
1175505	55843;4100	Tagetes patula;Nicotiana benthamiana	
912035	68299;912033	Ageratum leaf curl Cameroon virus;Ageratum conyzoides	
743035	912033;55598;55597	Ageratum houstonianum;Ageratum;Ageratum leaf curl Cameroon virus	
635076	68299	Ageratum conyzoides	
912033	68299	Ageratum conyzoides	
2182585	68299	Ageratum conyzoides	
298650	68299	Ageratum conyzoides	
169687	68299	Ageratum conyzoides	
187850	3888;1931111	Pea leaf distortion virus;Pisum sativum	
185750	68299	Ageratum conyzoides	
1454227	183085	Synedrella nodiflora	
329288	68299	Ageratum conyzoides	
1329380	212256	Oxalis corniculata	
298133	68299	Ageratum conyzoides	
222078	68299	Ageratum conyzoides	
1311625	34245	Zinnia elegans	
437063	4081	Solanum lycopersicum	
437061	55598;55597	Ageratum houstonianum;Ageratum	
1407058	183063	Parthenium hysterophorus	
2010316	4097;68299;4565;1914900;183085;1174526;188333	Synedrella nodiflora;Ageratum conyzoides;Wheat dwarf India virus;Nicotiana tabacum;Ageratum enation virus;Triticum aestivum;Synedrella yellow vein clearing virus	
1468596	455045;346391	Abelmoschus esculentus;Ageratum yellow vein virus-Pakistan	
915293	68299;4100	Ageratum conyzoides;Nicotiana benthamiana	
2010317	68299;44560	Ageratum conyzoides;Ageratum yellow vein virus	
222079	68299;4100	Ageratum conyzoides;Nicotiana benthamiana	
222441	68299	Ageratum conyzoides	
44560	68299;4100;4071;3885;4081	Capsicum;Ageratum conyzoides;Phaseolus vulgaris;Solanum lycopersicum;Nicotiana benthamiana	
501251	50207	Sonchus oleraceus	
446569	68299;7038;446318;4081	Bemisia tabaci;Ageratum conyzoides;Ageratum yellow vein virus-Ishigaki;Solanum lycopersicum	
446318	68299;4081	Ageratum conyzoides;Solanum lycopersicum	
683735	668336	Aggregatibacter actinomycetemcomitans D11S-1	
1512278	174182	Aglaonema modestum	
1161931	1183401	Agrobacterium fabacearum	
2024261	358	Agrobacterium tumefaciens	
2024262	358	Agrobacterium tumefaciens	
2024263	358	Agrobacterium tumefaciens	
2024264	358	Agrobacterium tumefaciens	
2024265	358	Agrobacterium tumefaciens	
2723769	1183400	Agrobacterium tumefaciens complex	
2723773	1183400	Agrobacterium tumefaciens complex	
41763	52152;4565	Elymus repens;Triticum aestivum	
208013	56364	Agrotis ipsilon	
10464	47767	Agrotis segetum	
1962501	7088	Lepidoptera	
1580580	47767	Agrotis segetum	
1006583	7199;252607	Lutzomyia	
1313215	9606	Homo sapiens	
194965	9606;9913;9534	Homo sapiens;Chlorocebus aethiops;Bos taurus	
2016454	9646	Ailuropoda melanoleuca	
2016455	9646	Ailuropoda melanoleuca	
2016453	9646	Ailuropoda melanoleuca	
2016447	1	root	
2016448	9646	Ailuropoda melanoleuca	
11582	9913	Bos taurus	
1692242	12922	Aiptasia	
2491018	35874	Dioscorea bulbifera	
70566	9925;9913;9940	Ovis aries;Bos taurus;Capra hircus	
2200830	9606;9534;134910;54292	Homo sapiens;Chlorocebus aethiops;Apodemus uralensis;Apodemus flavicollis	
2163422	106112	Akodon montensis	
11791	10090	Mus musculus	
1552846	139058	Aedeomyia squamipennis	
2877946	511	Alcaligenes faecalis	
35252	9913;101659;9927	Connochaetes taurinus;Bos taurus;Connochaetes taurinus taurinus	
138184	59546	Damaliscus lunatus jimela	
2219143	1	root	
2219133	1	root	
2219134	1	root	
2219135	1	root	
2219136	1	root	
2219137	1	root	
2219138	1	root	
2219139	1	root	
2219142	1	root	
2885846	9853	Alces alces alces	
1725367	13204;9534	Chlorocebus aethiops;Phlebotomus perniciosus	
629726	9606	Homo sapiens	
28314	9665	Mustela	
998864	3879	Medicago sativa	
1770265	3879	Medicago sativa	
165250	3879	Medicago sativa	
1306546	3879	Medicago sativa	
12321	60916;41386;4045;83862;3916;4097;145753;23113;3847;3827;3917;4072;85293;35936;3885;3888;4236;3869;3864;157662;4081;4113;3879	Vigna unguiculata;Malva parviflora;Solanum lycopersicum;Viburnum opulus;Teramnus repens;Medicago sativa;Solanum tuberosum;Cicer arietinum;Pisum sativum;Vigna radiata var. radiata;Caryopteris incana;Astragalus glycyphyllos;Lens culinaris;Phaseolus vulgaris;Nicotiana tabacum;Capsicum annuum;Lablab purpureus;Lactuca sativa;Apium graveolens;Lupinus;Trifolium incarnatum;Glycine max;Philadelphus	
2170538	3879	Medicago sativa	
1985968	3879	Medicago sativa	
44017	121387;10090	Centropus phasianinus;Mus musculus	
515575	3660	Cucurbita	
172148	69826;9940;9606;9534;10116;10090	Chlorocebus aethiops;Homo sapiens;Ornithodoros savignyi;Ovis aries;Rattus norvegicus;Mus musculus	Alkhumra hemorrhagic fever
452758	52818	Allamanda cathartica	
1317107	52818	Allamanda cathartica	
2058778	4679	Allium cepa	
2058779	4679	Allium cepa	
317027	4678	Allium	
